"latitude","longitude","elevation","distance"
"42.85137","-9.13293","27.5","23881.6"
"42.85154","-9.13304","27.9","23902.5"
"42.85204","-9.13333","28.8","23962.9"
"42.85212","-9.13338","28.9","23972.7"
"42.85267","-9.13371","30.0","24039.5"
"42.85276","-9.13376","30.2","24050.3"
"42.85303","-9.13392","31.2","24083.0"
"42.85345","-9.13416","32.2","24133.7"
"42.85353","-9.13421","32.4","24143.5"
"42.85402","-9.13450","33.4","24202.8"
"42.85410","-9.13455","33.5","24212.6"
"42.85460","-9.13484","33.8","24273.0"
"42.85477","-9.13495","33.9","24294.0"
"42.85520","-9.13522","34.4","24346.6"
"42.85529","-9.13527","34.4","24357.4"
"42.85566","-9.13550","33.5","24402.6"
"42.85595","-9.13567","32.4","24437.7"
"42.85627","-9.13585","31.6","24476.2"
"42.85650","-9.13597","30.6","24503.6"
"42.85684","-9.13616","29.5","24544.4"
"42.85718","-9.13636","28.9","24585.6"
"42.85774","-9.13667","28.3","24652.8"
"42.85785","-9.13673","28.3","24666.0"
"42.85818","-9.13691","28.5","24705.5"
"42.85871","-9.13721","29.1","24769.3"
"42.85891","-9.13733","29.4","24793.6"
"42.85900","-9.13738","29.5","24804.4"
"42.85910","-9.13744","29.7","24816.6"
"42.85949","-9.13766","30.5","24863.5"
"42.85988","-9.13787","31.0","24910.1"
"42.86025","-9.13808","31.8","24954.7"
"42.86053","-9.13823","32.6","24988.1"
"42.86062","-9.13828","32.8","24998.9"
"42.86116","-9.13859","33.4","25064.1"
"42.86124","-9.13864","33.3","25073.9"
"42.86179","-9.13895","32.8","25140.0"
"42.86190","-9.13901","32.5","25153.2"
"42.86220","-9.13920","31.6","25190.0"
"42.86249","-9.13942","30.9","25226.9"
"42.86259","-9.13950","30.6","25239.8"
"42.86278","-9.13970","29.7","25266.4"
"42.86297","-9.13988","29.2","25292.2"
"42.86328","-9.14014","29.0","25332.6"
"42.86360","-9.14033","28.2","25371.4"
"42.86382","-9.14046","27.5","25398.1"
"42.86439","-9.14075","27.8","25465.7"
"42.86460","-9.14086","28.6","25490.8"
"42.86480","-9.14095","29.4","25514.2"
"42.86507","-9.14108","30.4","25546.0"
"42.86516","-9.14111","30.6","25556.3"
"42.86554","-9.14118","31.6","25598.9"
"42.86584","-9.14117","31.6","25632.3"
"42.86605","-9.14114","31.5","25655.8"
"42.86637","-9.14110","31.2","25691.5"
"42.86678","-9.14105","31.9","25737.3"
"42.86688","-9.14103","32.2","25748.5"
"42.86719","-9.14099","33.2","25783.2"
"42.86779","-9.14090","34.4","25850.3"
"42.86788","-9.14089","34.7","25860.3"
"42.86806","-9.14087","35.7","25880.4"
"42.86833","-9.14084","37.2","25910.5"
"42.86841","-9.14082","37.6","25919.6"
"42.86857","-9.14080","38.3","25937.4"
"42.86892","-9.14075","39.5","25976.6"
"42.86900","-9.14074","39.9","25985.5"
"42.86916","-9.14072","40.8","26003.4"
"42.86940","-9.14069","42.1","26030.2"
"42.86956","-9.14067","42.8","26048.0"
"42.86974","-9.14065","43.4","26068.1"
"42.87017","-9.14061","44.8","26116.0"
"42.87034","-9.14059","45.4","26135.0"
"42.87051","-9.14057","45.8","26154.0"
"42.87082","-9.14054","47.0","26188.5"
"42.87111","-9.14052","48.3","26220.8"
"42.87125","-9.14051","48.9","26236.4"
"42.87131","-9.14049","49.2","26243.3"
"42.87158","-9.14046","50.3","26273.4"
"42.87165","-9.14046","50.6","26281.2"
"42.87186","-9.14045","51.6","26304.6"
"42.87201","-9.14044","51.9","26321.3"
"42.87243","-9.14047","51.3","26368.0"
"42.87270","-9.14045","50.3","26398.1"
"42.87290","-9.14039","49.3","26420.9"
"42.87311","-9.14030","48.0","26445.3"
"42.87332","-9.14022","46.7","26469.6"
"42.87355","-9.14014","45.5","26496.0"
"42.87389","-9.14001","44.4","26535.2"
"42.87400","-9.13999","44.2","26547.6"
"42.87461","-9.13992","44.1","26615.6"
"42.87496","-9.13988","43.1","26654.7"
"42.87532","-9.13983","41.7","26694.9"
"42.87544","-9.13979","41.1","26708.7"
"42.87558","-9.13975","40.2","26724.6"
"42.87584","-9.13966","38.7","26754.4"
"42.87610","-9.13956","37.4","26784.4"
"42.87637","-9.13947","36.4","26815.3"
"42.87664","-9.13938","35.6","26846.2"
"42.87677","-9.13934","35.1","26861.1"
"42.87692","-9.13931","34.3","26877.9"
"42.87705","-9.13930","33.7","26892.4"
"42.87735","-9.13930","32.1","26925.8"
"42.87750","-9.13931","31.4","26942.5"
"42.87763","-9.13932","30.9","26956.9"
"42.87789","-9.13936","30.2","26986.0"
"42.87816","-9.13941","29.6","27016.3"
"42.87829","-9.13943","29.3","27030.9"
"42.87869","-9.13951","28.8","27075.8"
"42.87897","-9.13957","28.7","27107.3"
"42.87912","-9.13959","28.8","27124.1"
"42.87978","-9.13970","28.3","27198.0"
"42.88003","-9.13974","28.1","27226.0"
"42.88015","-9.13974","27.9","27239.4"
"42.88026","-9.13973","27.9","27251.6"
"42.88038","-9.13970","27.9","27265.2"
"42.88079","-9.13946","28.9","27314.8"
"42.88089","-9.13938","29.1","27327.7"
"42.88109","-9.13922","29.4","27353.5"
"42.88129","-9.13903","29.8","27380.6"
"42.88139","-9.13894","29.9","27393.9"
"42.88159","-9.13877","30.0","27420.1"
"42.88180","-9.13860","30.2","27447.2"
"42.88190","-9.13852","30.3","27460.1"
"42.88200","-9.13844","30.7","27473.0"
"42.88219","-9.13827","31.2","27498.3"
"42.88258","-9.13796","31.6","27548.5"
"42.88302","-9.13777","31.2","27599.8"
"42.88324","-9.13775","31.2","27624.3"
"42.88346","-9.13776","31.3","27648.8"
"42.88388","-9.13786","31.2","27696.2"
"42.88421","-9.13797","30.1","27733.9"
"42.88445","-9.13806","29.0","27761.6"
"42.88456","-9.13810","28.6","27774.3"
"42.88480","-9.13819","27.9","27802.0"
"42.88518","-9.13833","26.4","27845.7"
"42.88532","-9.13837","25.6","27861.6"
"42.88545","-9.13839","24.7","27876.2"
"42.88559","-9.13840","23.7","27891.8"
"42.88573","-9.13840","22.6","27907.3"
"42.88587","-9.13839","21.7","27922.9"
"42.88617","-9.13836","19.9","27956.4"
"42.88631","-9.13835","19.0","27972.0"
"42.88647","-9.13834","17.9","27989.8"
"42.88661","-9.13833","16.9","28005.4"
